record,year,entry,range,plot,column,block,pblock,pop,entry99,dla1,dla2,dla3,logitdla1,logitdla2,logitdla3,dla1p,dla2p,dla3p,rowqlt,dta
6260,2,49,16,3,1,7,22,22,49,23,24,27,-0.524762889,-0.500602351,-0.431959096,0.23,0.24,0.27,5,78
6261,2,38,16,4,1,7,22,22,38,23,22,28,-0.524762889,-0.549671922,-0.410174465,0.23,0.22,0.28,5,80
6262,2,10,16,5,1,7,22,22,10,13,13,28,-0.8255759,-0.8255759,-0.410174465,0.13,0.13,0.28,5,86
6263,2,133,16,7,1,6,22,22,133,12,9,24,-0.865301426,-1.004798883,-0.500602351,0.12,0.09,0.24,5,86
6264,2,94,16,8,1,6,22,22,94,19,12,26,-0.629731418,-0.865301426,-0.454258372,0.19,0.12,0.26,5,82
6265,2,151,16,11,2,6,22,22,151,31,48,72,-0.347487397,-0.034762106,0.410174465,0.31,0.48,0.72,5,80
6266,2,162,16,13,2,6,22,22,162,22,21,24,-0.549671922,-0.575407797,-0.500602351,0.22,0.21,0.24,5,76
6267,2,78,16,14,2,6,22,22,78,23,29,54,-0.524762889,-0.388860351,0.069635928,0.23,0.29,0.54,5,82
6268,2,82,16,15,2,6,22,22,82,28,31,54,-0.410174465,-0.347487397,0.069635928,0.28,0.31,0.54,5,80
6269,2,114,16,17,2,5,22,22,114,18,15,28,-0.658541347,-0.753327667,-0.410174465,0.18,0.15,0.28,5,82
6270,2,76,16,18,2,5,22,22,76,24,22,32,-0.500602351,-0.549671922,-0.327358934,0.24,0.22,0.32,5,81
6271,2,21,16,19,2,5,22,22,21,22,19,26,-0.549671922,-0.629731418,-0.454258372,0.22,0.19,0.26,5,78
6272,2,58,16,20,2,5,22,22,58,20,15,28,-0.602059991,-0.753327667,-0.410174465,0.2,0.15,0.28,5,80
6273,2,182,16,23,3,5,22,22,182,21,16,24,-0.575407797,-0.720159303,-0.500602351,0.21,0.16,0.24,5,75
6274,2,136,16,24,3,5,22,22,136,15,25,44,-0.753327667,-0.477121255,-0.104735351,0.15,0.25,0.44,5,82
6275,2,20,16,25,3,5,22,22,20,26,27,36,-0.454258372,-0.431959096,-0.249877473,0.26,0.27,0.36,5,75
6276,2,59,16,26,3,5,22,22,59,33,47,55,-0.307560863,-0.052178012,0.087150176,0.33,0.47,0.55,5,77
6277,2,37,16,27,3,5,22,22,37,19,21,34,-0.629731418,-0.575407797,-0.288065018,0.19,0.21,0.34,5,82
6278,2,154,16,29,3,4,22,22,154,14,18,28,-0.788370416,-0.658541347,-0.410174465,0.14,0.18,0.28,5,76
6279,2,64,16,34,4,4,22,22,64,20,13,30,-0.602059991,-0.8255759,-0.367976785,0.2,0.13,0.3,5,78
6280,2,186,16,36,4,4,22,22,186,12,14,24,-0.865301426,-0.788370416,-0.500602351,0.12,0.14,0.24,5,74
6281,2,202,16,37,4,4,22,27,22,18,18,24,-0.658541347,-0.658541347,-0.500602351,0.18,0.18,0.24,5,75
6282,2,143,16,38,4,4,22,22,143,16,21,26,-0.720159303,-0.575407797,-0.454258372,0.16,0.21,0.26,5,74
6283,2,101,16,40,4,3,22,22,101,26,28,44,-0.454258372,-0.410174465,-0.104735351,0.26,0.28,0.44,5,81
6284,2,175,16,41,5,3,22,22,175,18,25,28,-0.658541347,-0.477121255,-0.410174465,0.18,0.25,0.28,5,78
6285,2,202,16,42,5,3,22,27,22,14,24,24,-0.788370416,-0.500602351,-0.500602351,0.14,0.24,0.24,5,75
6286,2,125,16,43,5,3,22,22,125,10,24,36,-0.954242509,-0.500602351,-0.249877473,0.1,0.24,0.36,5,77
6287,2,80,16,44,5,3,22,22,80,21,27,34,-0.575407797,-0.431959096,-0.288065018,0.21,0.27,0.34,5,76
6288,2,27,16,45,5,3,22,22,27,11,13,24,-0.907997321,-0.8255759,-0.500602351,0.11,0.13,0.24,5,78
6289,2,99,16,46,5,6,7,7,99,27,31,48,-0.431959096,-0.347487397,-0.034762106,0.27,0.31,0.48,5,81
6290,2,201,16,48,5,6,7,27,27,19,30,40,-0.629731418,-0.367976785,-0.176091259,0.19,0.3,0.4,5,78
6291,2,202,16,49,5,6,7,27,7,16,25,34,-0.720159303,-0.477121255,-0.288065018,0.16,0.25,0.34,5,95
6292,2,10,16,50,5,6,7,7,10,14,28,36,-0.788370416,-0.410174465,-0.249877473,0.14,0.28,0.36,5,82
6293,2,200,16,51,6,6,7,7,200,23,32,60,-0.524762889,-0.327358934,0.176091259,0.23,0.32,0.6,5,84
6294,2,87,16,52,6,6,7,7,87,13,27,44,-0.8255759,-0.431959096,-0.104735351,0.13,0.27,0.44,5,91
6295,2,76,16,53,6,6,7,7,76,12,24,54,-0.865301426,-0.500602351,0.069635928,0.12,0.24,0.54,5,87
6296,2,98,16,54,6,7,7,7,98,10,6,18,-0.954242509,-1.194976603,-0.658541347,0.1,0.06,0.18,5,91
6297,2,202,16,55,6,7,7,27,7,16,22,38,-0.720159303,-0.549671922,-0.212608093,0.16,0.22,0.38,5,97
6298,2,97,16,56,6,7,7,7,97,14,23,38,-0.788370416,-0.524762889,-0.212608093,0.14,0.23,0.38,5,88
6299,2,107,16,58,6,7,7,7,107,33,55,80,-0.307560863,0.087150176,0.602059991,0.33,0.55,0.8,5,83
6300,2,110,16,59,6,7,7,7,110,26,30,52,-0.454258372,-0.367976785,0.034762106,0.26,0.3,0.52,5,84
6301,2,32,16,60,6,7,7,7,32,24,30,46,-0.500602351,-0.367976785,-0.069635928,0.24,0.3,0.46,5,89
6302,2,3,16,61,7,7,7,7,3,4,6,24,-1.380211242,-1.194976603,-0.500602351,0.04,0.06,0.24,5,82
6303,2,150,16,62,7,7,7,7,150,31,42,60,-0.347487397,-0.140178703,0.176091259,0.31,0.42,0.6,5,84
6304,2,155,16,63,7,7,7,7,155,42,35,56,-0.140178703,-0.268845312,0.104735351,0.42,0.35,0.56,5,82
6305,2,12,16,65,7,8,7,7,12,25,31,46,-0.477121255,-0.347487397,-0.069635928,0.25,0.31,0.46,5,88
6306,2,170,16,66,7,8,7,7,170,24,29,46,-0.500602351,-0.388860351,-0.069635928,0.24,0.29,0.46,5,93
6307,2,31,16,67,7,8,7,7,31,29,35,50,-0.388860351,-0.268845312,0,0.29,0.35,0.5,5,94
6308,2,189,16,68,7,8,7,7,189,23,19,25,-0.524762889,-0.629731418,-0.477121255,0.23,0.19,0.25,5,87
6309,2,199,16,69,7,8,7,7,199,22,28,28,-0.549671922,-0.410174465,-0.410174465,0.22,0.28,0.28,5,87
6310,2,177,16,70,7,8,7,7,177,27,50,72,-0.431959096,0,0.410174465,0.27,0.5,0.72,5,87
6311,2,42,16,71,8,8,7,7,42,18,23,36,-0.658541347,-0.524762889,-0.249877473,0.18,0.23,0.36,5,84
6312,2,70,16,72,8,8,7,7,70,32,46,50,-0.327358934,-0.069635928,0,0.32,0.46,0.5,5,85
6313,2,185,16,74,8,9,7,7,185,27,27,44,-0.431959096,-0.431959096,-0.104735351,0.27,0.27,0.44,5,84
6314,2,178,16,75,8,9,7,7,178,25,26,38,-0.477121255,-0.454258372,-0.212608093,0.25,0.26,0.38,5,78
6315,2,121,16,76,8,9,7,7,121,29,29,50,-0.388860351,-0.388860351,0,0.29,0.29,0.5,5,85
6316,2,184,16,77,8,9,7,7,184,38,55,70,-0.212608093,0.087150176,0.367976785,0.38,0.55,0.7,5,86
6317,2,135,16,78,8,9,7,7,135,49,45,68,-0.017374096,-0.087150176,0.327358934,0.49,0.45,0.68,5,91
6318,2,45,16,79,8,9,7,7,45,31,42,60,-0.347487397,-0.140178703,0.176091259,0.31,0.42,0.6,5,77
6319,2,157,16,80,8,9,7,7,157,30,35,59,-0.367976785,-0.268845312,0.158068155,0.3,0.35,0.59,5,89
6320,2,168,16,83,9,9,7,7,168,26,31,58,-0.454258372,-0.347487397,0.140178703,0.26,0.31,0.58,5,95
6321,2,79,16,84,9,9,7,7,79,29,34,58,-0.388860351,-0.288065018,0.140178703,0.29,0.34,0.58,5,91
6322,2,154,16,85,9,10,7,7,154,31,28,56,-0.347487397,-0.410174465,0.104735351,0.31,0.28,0.56,5,85
6323,2,47,16,91,10,10,7,7,47,28,32,44,-0.410174465,-0.327358934,-0.104735351,0.28,0.32,0.44,5,84
6324,2,114,16,98,10,1,1,1,114,21,15,26,-0.575407797,-0.753327667,-0.454258372,0.21,0.15,0.26,5,83
6325,2,119,16,99,10,1,1,1,119,28,31,58,-0.410174465,-0.347487397,0.140178703,0.28,0.31,0.58,5,81
6326,2,77,17,2,1,7,22,22,77,17,16,24,-0.688629171,-0.720159303,-0.500602351,0.17,0.16,0.24,5,74
6327,2,165,17,3,1,7,22,22,165,5,8,22,-1.278753601,-1.06069784,-0.549671922,0.05,0.08,0.22,5,80
6328,2,191,17,5,1,7,22,22,191,24,26,42,-0.500602351,-0.454258372,-0.140178703,0.24,0.26,0.42,5,82
6329,2,184,17,6,1,7,22,22,184,15,16,28,-0.753327667,-0.720159303,-0.410174465,0.15,0.16,0.28,5,86
6330,2,40,17,7,1,7,22,22,40,10,26,32,-0.954242509,-0.454258372,-0.327358934,0.1,0.26,0.32,5,85
6331,2,5,17,8,1,8,22,22,5,16,23,26,-0.720159303,-0.524762889,-0.454258372,0.16,0.23,0.26,5,79
6332,2,110,17,9,1,8,22,22,110,14,22,28,-0.788370416,-0.549671922,-0.410174465,0.14,0.22,0.28,5,79
6333,2,176,17,10,1,8,22,22,176,18,21,26,-0.658541347,-0.575407797,-0.454258372,0.18,0.21,0.26,5,79
6334,2,194,17,11,2,8,22,22,194,4,11,20,-1.380211242,-0.907997321,-0.602059991,0.04,0.11,0.2,5,84
6335,2,69,17,12,2,8,22,22,69,23,25,28,-0.524762889,-0.477121255,-0.410174465,0.23,0.25,0.28,5,79
6336,2,102,17,13,2,8,22,22,102,19,24,32,-0.629731418,-0.500602351,-0.327358934,0.19,0.24,0.32,5,78
6337,2,181,17,15,2,8,22,22,181,26,34,56,-0.454258372,-0.288065018,0.104735351,0.26,0.34,0.56,5,83
6338,2,4,17,16,2,8,22,22,4,20,14,26,-0.602059991,-0.788370416,-0.454258372,0.2,0.14,0.26,5,76
6339,2,109,17,21,3,9,22,22,109,23,23,28,-0.524762889,-0.524762889,-0.410174465,0.23,0.23,0.28,5,80
6340,2,183,17,23,3,9,22,22,183,25,29,47,-0.477121255,-0.388860351,-0.052178012,0.25,0.29,0.47,5,78
6341,2,53,17,25,3,9,22,22,53,24,25,36,-0.500602351,-0.477121255,-0.249877473,0.24,0.25,0.36,5,77
6342,2,127,17,26,3,9,22,22,127,15,14,26,-0.753327667,-0.788370416,-0.454258372,0.15,0.14,0.26,5,80
6343,2,60,17,27,3,9,22,22,60,22,22,38,-0.549671922,-0.549671922,-0.212608093,0.22,0.22,0.38,5,78
6344,2,74,17,28,3,9,22,22,74,10,13,28,-0.954242509,-0.8255759,-0.410174465,0.1,0.13,0.28,5,80
6345,2,0,17,29,3,11,22,22,0,19,30,60,-0.629731418,-0.367976785,0.176091259,0.19,0.3,0.6,5,NA
6346,2,177,17,35,4,1,12,12,177,20,21,26,-0.602059991,-0.575407797,-0.454258372,0.2,0.21,0.26,5,88
6347,2,51,17,38,4,1,12,12,51,9,9,16,-1.004798883,-1.004798883,-0.720159303,0.09,0.09,0.16,5,88
6348,2,2,17,46,5,6,7,7,2,28,28,48,-0.410174465,-0.410174465,-0.034762106,0.28,0.28,0.48,5,82
6349,2,65,17,48,5,5,7,7,65,26,33,64,-0.454258372,-0.307560863,0.249877473,0.26,0.33,0.64,5,85
6350,2,93,17,50,5,5,7,7,93,21,27,44,-0.575407797,-0.431959096,-0.104735351,0.21,0.27,0.44,5,85
6351,2,202,17,51,6,5,7,27,7,22,28,42,-0.549671922,-0.410174465,-0.140178703,0.22,0.28,0.42,5,96
6352,2,49,17,54,6,5,7,7,49,23,26,36,-0.524762889,-0.454258372,-0.249877473,0.23,0.26,0.36,5,83
6353,2,152,17,55,6,5,7,7,152,2,5,20,-1.69019608,-1.278753601,-0.602059991,0.02,0.05,0.2,5,93
6354,2,34,17,57,6,5,7,7,34,27,31,62,-0.431959096,-0.347487397,0.212608093,0.27,0.31,0.62,5,86
6355,2,75,17,58,6,4,7,7,75,8,13,18,-1.06069784,-0.8255759,-0.658541347,0.08,0.13,0.18,5,81
6356,2,192,17,61,7,4,7,7,192,25,25,50,-0.477121255,-0.477121255,0,0.25,0.25,0.5,5,83
6357,2,202,17,62,7,4,7,27,7,25,24,36,-0.477121255,-0.500602351,-0.249877473,0.25,0.24,0.36,5,96
6358,2,8,17,64,7,4,7,7,8,27,30,44,-0.431959096,-0.367976785,-0.104735351,0.27,0.3,0.44,5,83
6359,2,81,17,65,7,4,7,7,81,19,26,36,-0.629731418,-0.454258372,-0.249877473,0.19,0.26,0.36,5,86
6360,2,96,17,66,7,4,7,7,96,18,26,38,-0.658541347,-0.454258372,-0.212608093,0.18,0.26,0.38,5,88
6361,2,24,17,67,7,4,7,7,24,24,29,34,-0.500602351,-0.388860351,-0.288065018,0.24,0.29,0.34,5,85
6362,2,145,17,69,7,3,7,7,145,25,30,46,-0.477121255,-0.367976785,-0.069635928,0.25,0.3,0.46,5,87
6363,2,57,17,70,7,3,7,7,57,17,30,50,-0.688629171,-0.367976785,0,0.17,0.3,0.5,5,91
6364,2,60,17,71,8,3,7,7,60,21,31,52,-0.575407797,-0.347487397,0.034762106,0.21,0.31,0.52,5,85
6365,2,4,17,72,8,3,7,7,4,8,12,24,-1.06069784,-0.865301426,-0.500602351,0.08,0.12,0.24,5,86
6366,2,202,17,73,8,3,7,27,7,16,23,34,-0.720159303,-0.524762889,-0.288065018,0.16,0.23,0.34,5,99
6367,2,201,17,74,8,3,7,27,27,20,31,40,-0.602059991,-0.347487397,-0.176091259,0.2,0.31,0.4,5,82
6368,2,74,17,75,8,3,7,7,74,25,34,50,-0.477121255,-0.288065018,0,0.25,0.34,0.5,5,91
6369,2,174,17,76,8,3,7,7,174,22,26,40,-0.549671922,-0.454258372,-0.176091259,0.22,0.26,0.4,5,87
6370,2,201,17,78,8,2,7,27,27,23,28,46,-0.524762889,-0.410174465,-0.069635928,0.23,0.28,0.46,5,81
6371,2,131,17,80,8,2,7,7,131,19,16,34,-0.629731418,-0.720159303,-0.288065018,0.19,0.16,0.34,5,86
6372,2,46,17,81,9,2,7,7,46,21,24,40,-0.575407797,-0.500602351,-0.176091259,0.21,0.24,0.4,5,89
6373,2,114,17,82,9,2,7,7,114,13,12,18,-0.8255759,-0.865301426,-0.658541347,0.13,0.12,0.18,5,91
6374,2,202,17,83,9,2,7,27,7,24,26,39,-0.500602351,-0.454258372,-0.194265228,0.24,0.26,0.39,5,100
6375,2,51,17,84,9,2,7,7,51,24,28,44,-0.500602351,-0.410174465,-0.104735351,0.24,0.28,0.44,5,95
6376,2,151,17,85,9,2,7,7,151,26,30,50,-0.454258372,-0.367976785,0,0.26,0.3,0.5,5,89
6377,2,129,17,87,9,2,7,7,129,27,29,46,-0.431959096,-0.388860351,-0.069635928,0.27,0.29,0.46,5,84
6378,2,126,17,88,9,1,7,7,126,31,40,56,-0.347487397,-0.176091259,0.104735351,0.31,0.4,0.56,5,85
6379,2,201,17,89,9,1,7,27,27,24,28,46,-0.500602351,-0.410174465,-0.069635928,0.24,0.28,0.46,5,82
6380,2,202,17,90,9,1,7,27,7,19,23,42,-0.629731418,-0.524762889,-0.140178703,0.19,0.23,0.42,5,133
6381,2,58,17,91,10,1,7,7,58,5,9,24,-1.278753601,-1.004798883,-0.500602351,0.05,0.09,0.24,5,85
6382,2,130,17,92,10,1,7,7,130,47,50,66,-0.052178012,0,0.288065018,0.47,0.5,0.66,5,91
6383,2,187,17,95,10,1,7,7,187,29,31,55,-0.388860351,-0.347487397,0.087150176,0.29,0.31,0.55,5,87
6384,2,191,17,96,10,1,7,7,191,24,16,24,-0.500602351,-0.720159303,-0.500602351,0.24,0.16,0.24,5,86
6385,2,201,18,5,1,7,22,27,27,15,16,31,-0.753327667,-0.720159303,-0.347487397,0.15,0.16,0.31,5,83
6386,2,89,18,6,1,7,22,22,89,12,13,20,-0.865301426,-0.8255759,-0.602059991,0.12,0.13,0.2,5,78
6387,2,167,18,7,1,8,22,22,167,13,28,38,-0.8255759,-0.410174465,-0.212608093,0.13,0.28,0.38,5,88
6388,2,50,18,8,1,8,22,22,50,25,26,38,-0.477121255,-0.454258372,-0.212608093,0.25,0.26,0.38,5,76
6389,2,85,18,9,1,8,22,22,85,14,26,50,-0.788370416,-0.454258372,0,0.14,0.26,0.5,5,82
6390,2,71,18,10,1,8,22,22,71,23,25,36,-0.524762889,-0.477121255,-0.249877473,0.23,0.25,0.36,5,78
6391,2,202,18,12,2,8,22,27,22,14,17,26,-0.788370416,-0.688629171,-0.454258372,0.14,0.17,0.26,5,78
6392,2,174,18,13,2,8,22,22,174,15,22,30,-0.753327667,-0.549671922,-0.367976785,0.15,0.22,0.3,5,78
6393,2,75,18,14,2,8,22,22,75,25,31,36,-0.477121255,-0.347487397,-0.249877473,0.25,0.31,0.36,5,76
6394,2,18,18,15,2,8,22,22,18,24,19,26,-0.500602351,-0.629731418,-0.454258372,0.24,0.19,0.26,5,77
6395,2,108,18,16,2,8,22,22,108,20,26,48,-0.602059991,-0.454258372,-0.034762106,0.2,0.26,0.48,5,79
6396,2,201,18,17,2,8,22,27,27,21,19,30,-0.575407797,-0.629731418,-0.367976785,0.21,0.19,0.3,5,82
6397,2,202,18,18,2,9,22,27,22,13,18,24,-0.8255759,-0.658541347,-0.500602351,0.13,0.18,0.24,5,77
6398,2,130,18,19,2,9,22,22,130,19,23,26,-0.629731418,-0.524762889,-0.454258372,0.19,0.23,0.26,5,80
6399,2,201,18,21,3,9,22,27,27,21,23,32,-0.575407797,-0.524762889,-0.327358934,0.21,0.23,0.32,5,78
6400,2,7,18,22,3,9,22,22,7,27,29,54,-0.431959096,-0.388860351,0.069635928,0.27,0.29,0.54,5,79
6401,2,93,18,24,3,9,22,22,93,21,28,52,-0.575407797,-0.410174465,0.034762106,0.21,0.28,0.52,5,78
6402,2,129,18,25,3,9,22,22,129,16,17,28,-0.720159303,-0.688629171,-0.410174465,0.16,0.17,0.28,5,79
6403,2,62,18,26,3,9,22,22,62,8,18,26,-1.06069784,-0.658541347,-0.454258372,0.08,0.18,0.26,5,78
6404,2,122,18,27,3,9,22,22,122,25,23,26,-0.477121255,-0.524762889,-0.454258372,0.25,0.23,0.26,5,77
6405,2,8,18,28,3,9,22,22,8,22,26,34,-0.549671922,-0.454258372,-0.288065018,0.22,0.26,0.34,5,77
6406,2,68,18,30,3,1,12,12,68,4,9,22,-1.380211242,-1.004798883,-0.549671922,0.04,0.09,0.22,5,82
6407,2,56,18,31,4,1,12,12,56,12,15,24,-0.865301426,-0.753327667,-0.500602351,0.12,0.15,0.24,5,94
6408,2,163,18,33,4,1,12,12,163,20,28,38,-0.602059991,-0.410174465,-0.212608093,0.2,0.28,0.38,5,83
6409,2,144,18,43,5,2,12,12,144,1,3,10,-1.995635195,-1.50965048,-0.954242509,0.01,0.03,0.1,5,90
6410,2,1,18,46,5,6,7,7,1,2,3,18,-1.69019608,-1.50965048,-0.658541347,0.02,0.03,0.18,5,85
6411,2,66,18,48,5,5,7,7,66,15,28,38,-0.753327667,-0.410174465,-0.212608093,0.15,0.28,0.38,5,88
6412,2,50,18,49,5,5,7,7,50,36,50,70,-0.249877473,0,0.367976785,0.36,0.5,0.7,5,85
6413,2,176,18,50,5,5,7,7,176,25,35,60,-0.477121255,-0.268845312,0.176091259,0.25,0.35,0.6,5,85
6414,2,144,18,52,6,5,7,7,144,16,20,24,-0.720159303,-0.602059991,-0.500602351,0.16,0.2,0.24,5,89
6415,2,23,18,53,6,5,7,7,23,20,28,50,-0.602059991,-0.410174465,0,0.2,0.28,0.5,5,93
6416,2,159,18,54,6,5,7,7,159,9,24,28,-1.004798883,-0.500602351,-0.410174465,0.09,0.24,0.28,5,88
6417,2,147,18,55,6,5,7,7,147,26,31,60,-0.454258372,-0.347487397,0.176091259,0.26,0.31,0.6,5,87
6418,2,173,18,56,6,5,7,7,173,15,8,28,-0.753327667,-1.06069784,-0.410174465,0.15,0.08,0.28,5,95
6419,2,84,18,59,6,4,7,7,84,24,21,32,-0.500602351,-0.575407797,-0.327358934,0.24,0.21,0.32,5,87
6420,2,124,18,60,6,4,7,7,124,9,27,40,-1.004798883,-0.431959096,-0.176091259,0.09,0.27,0.4,5,87
6421,2,175,18,61,7,4,7,7,175,29,34,50,-0.388860351,-0.288065018,0,0.29,0.34,0.5,5,88
6422,2,111,18,62,7,4,7,7,111,19,25,30,-0.629731418,-0.477121255,-0.367976785,0.19,0.25,0.3,5,89
6423,2,172,18,63,7,4,7,7,172,16,26,46,-0.720159303,-0.454258372,-0.069635928,0.16,0.26,0.46,5,89
6424,2,165,18,64,7,4,7,7,165,11,24,34,-0.907997321,-0.500602351,-0.288065018,0.11,0.24,0.34,5,87
6425,2,17,18,65,7,4,7,7,17,28,30,40,-0.410174465,-0.367976785,-0.176091259,0.28,0.3,0.4,5,87
6426,2,201,18,66,7,4,7,27,27,21,30,44,-0.575407797,-0.367976785,-0.104735351,0.21,0.3,0.44,5,81
6427,2,20,18,67,7,4,7,7,20,24,25,30,-0.500602351,-0.477121255,-0.367976785,0.24,0.25,0.3,5,85
6428,2,104,18,68,7,3,7,7,104,18,23,32,-0.658541347,-0.524762889,-0.327358934,0.18,0.23,0.32,5,86
6429,2,68,18,69,7,3,7,7,68,30,45,56,-0.367976785,-0.087150176,0.104735351,0.3,0.45,0.56,5,91
6430,2,169,18,70,7,3,7,7,169,44,55,82,-0.104735351,0.087150176,0.658541347,0.44,0.55,0.82,5,85
6431,2,180,18,71,8,3,7,7,180,31,48,60,-0.347487397,-0.034762106,0.176091259,0.31,0.48,0.6,5,89
6432,2,48,18,73,8,3,7,7,48,33,50,70,-0.307560863,0,0.367976785,0.33,0.5,0.7,5,87
6433,2,103,18,74,8,3,7,7,103,28,33,50,-0.410174465,-0.307560863,0,0.28,0.33,0.5,5,86
6434,2,117,18,75,8,3,7,7,117,29,38,58,-0.388860351,-0.212608093,0.140178703,0.29,0.38,0.58,5,85
6435,2,39,18,76,8,3,7,7,39,35,55,70,-0.268845312,0.087150176,0.367976785,0.35,0.55,0.7,5,88
6436,2,53,18,77,8,3,7,7,53,20,22,46,-0.602059991,-0.549671922,-0.069635928,0.2,0.22,0.46,5,85
6437,2,29,18,80,8,2,7,7,29,21,27,54,-0.575407797,-0.431959096,0.069635928,0.21,0.27,0.54,5,85
6438,2,77,18,81,9,2,7,7,77,48,70,82,-0.034762106,0.367976785,0.658541347,0.48,0.7,0.82,5,86
6439,2,194,18,82,9,2,7,7,194,25,32,48,-0.477121255,-0.327358934,-0.034762106,0.25,0.32,0.48,5,89
6440,2,133,18,84,9,2,7,7,133,17,18,24,-0.688629171,-0.658541347,-0.500602351,0.17,0.18,0.24,5,92
6441,2,127,18,85,9,2,7,7,127,12,13,28,-0.865301426,-0.8255759,-0.410174465,0.12,0.13,0.28,5,83
6442,2,94,18,87,9,2,7,7,94,29,29,34,-0.388860351,-0.388860351,-0.288065018,0.29,0.29,0.34,5,89
6443,2,67,18,88,9,1,7,7,67,29,30,42,-0.388860351,-0.367976785,-0.140178703,0.29,0.3,0.42,5,85
6444,2,21,18,89,9,1,7,7,21,25,30,40,-0.477121255,-0.367976785,-0.176091259,0.25,0.3,0.4,5,85
6445,2,44,18,91,10,1,7,7,44,13,23,22,-0.8255759,-0.524762889,-0.549671922,0.13,0.23,0.22,5,87
6446,2,59,18,93,10,1,7,7,59,28,30,44,-0.410174465,-0.367976785,-0.104735351,0.28,0.3,0.44,5,87
6447,2,25,18,96,10,1,7,7,25,22,27,30,-0.549671922,-0.431959096,-0.367976785,0.22,0.27,0.3,5,84
6448,2,39,19,2,1,6,12,12,39,20,30,50,-0.602059991,-0.367976785,0,0.2,0.3,0.5,5,90
6449,2,202,19,3,1,6,12,27,12,2,1,2,-1.69019608,-1.995635195,-1.69019608,0.02,0.01,0.02,5,99
6450,2,1,19,4,1,6,12,12,1,15,13,22,-0.753327667,-0.8255759,-0.549671922,0.15,0.13,0.22,5,84
6451,2,146,19,6,1,6,12,12,146,16,10,12,-0.720159303,-0.954242509,-0.865301426,0.16,0.1,0.12,5,86
6452,2,201,19,7,1,6,12,27,27,25,29,44,-0.477121255,-0.388860351,-0.104735351,0.25,0.29,0.44,5,94
6453,2,157,19,8,1,6,12,12,157,7,1,4,-1.123384909,-1.995635195,-1.380211242,0.07,0.01,0.04,5,82
6454,2,158,19,9,1,6,12,12,158,3,7,14,-1.50965048,-1.123384909,-0.788370416,0.03,0.07,0.14,5,94
6455,2,136,19,10,1,6,12,12,136,15,16,24,-0.753327667,-0.720159303,-0.500602351,0.15,0.16,0.24,5,92
6456,2,14,19,11,2,6,12,12,14,11,12,18,-0.907997321,-0.865301426,-0.658541347,0.11,0.12,0.18,5,86
6457,2,115,19,14,2,5,12,12,115,26,21,30,-0.454258372,-0.575407797,-0.367976785,0.26,0.21,0.3,5,88
6458,2,189,19,15,2,5,12,12,189,22,23,30,-0.549671922,-0.524762889,-0.367976785,0.22,0.23,0.3,5,96
6459,2,155,19,16,2,5,12,12,155,12,6,12,-0.865301426,-1.194976603,-0.865301426,0.12,0.06,0.12,5,87
6460,2,150,19,17,2,5,12,12,150,18,12,24,-0.658541347,-0.865301426,-0.500602351,0.18,0.12,0.24,5,90
6461,2,175,19,18,2,5,12,12,175,3,1,4,-1.50965048,-1.995635195,-1.380211242,0.03,0.01,0.04,5,95
6462,2,80,19,20,2,5,12,12,80,8,6,6,-1.06069784,-1.194976603,-1.194976603,0.08,0.06,0.06,5,90
6463,2,45,19,21,3,5,12,12,45,22,24,42,-0.549671922,-0.500602351,-0.140178703,0.22,0.24,0.42,5,92
6464,2,8,19,22,3,4,12,12,8,15,19,15,-0.753327667,-0.629731418,-0.753327667,0.15,0.19,0.15,5,82
6465,2,132,19,23,3,4,12,12,132,0,1,4,-2.298853076,-1.995635195,-1.380211242,0.005,0.01,0.04,5,88
6466,2,33,19,24,3,4,12,12,33,8,7,8,-1.06069784,-1.123384909,-1.06069784,0.08,0.07,0.08,5,84
6467,2,201,19,26,3,4,12,27,27,21,24,37,-0.575407797,-0.500602351,-0.231138825,0.21,0.24,0.37,5,82
6468,2,183,19,27,3,4,12,12,183,4,5,10,-1.380211242,-1.278753601,-0.954242509,0.04,0.05,0.1,5,90
6469,2,36,19,28,3,4,12,12,36,15,23,42,-0.753327667,-0.524762889,-0.140178703,0.15,0.23,0.42,5,95
6470,2,119,19,29,3,4,12,12,119,7,6,8,-1.123384909,-1.194976603,-1.06069784,0.07,0.06,0.08,5,82
6471,2,91,19,30,3,4,12,12,91,11,8,24,-0.907997321,-1.06069784,-0.500602351,0.11,0.08,0.24,5,82
6472,2,168,19,33,4,3,12,12,168,2,2,8,-1.69019608,-1.69019608,-1.06069784,0.02,0.02,0.08,5,81
6473,2,179,19,35,4,3,12,12,179,6,5,12,-1.194976603,-1.278753601,-0.865301426,0.06,0.05,0.12,5,86
6474,2,182,19,37,4,3,12,12,182,13,7,24,-0.8255759,-1.123384909,-0.500602351,0.13,0.07,0.24,5,86
6475,2,173,19,38,4,3,12,12,173,14,13,28,-0.788370416,-0.8255759,-0.410174465,0.14,0.13,0.28,5,86
6476,2,140,19,40,4,3,12,12,140,18,8,24,-0.658541347,-1.06069784,-0.500602351,0.18,0.08,0.24,5,94
6477,2,105,19,41,5,3,12,12,105,8,7,18,-1.06069784,-1.123384909,-0.658541347,0.08,0.07,0.18,5,89
6478,2,193,19,42,5,2,12,12,193,22,20,38,-0.549671922,-0.602059991,-0.212608093,0.22,0.2,0.38,5,90
